x,y
28,30
27,28
21,39
34,39
37.475,25.425
25.686047,20.346512
21,39
41.073684,37.102632
46.15,17.74
18.93871,22.116129
30.766667,39.4
39.122581,39.609677
48.717647,15.841176
18.93871,22.116129
32.618182,35.890909
40.042308,39.876923
48.717647,15.841176
18.663333,21.93
32.392308,35.569231
40.24,39.876
48.717647,15.841176
18.382759,21.734483
31.8,34.530769
40.019231,39.923077
48.717647,15.841176
18.042857,21.603571
30.958333,32.933333
39.653571,39.896429
48.717647,15.841176
17.430769,21.2
30.25,32.064286
39.653571,39.896429
48.717647,15.841176
16.186364,20.168182
28.25625,30.1375
39.293333,39.71
48.717647,15.841176
14.129412,18.494118
26.205556,27.505556
38.639394,39.627273
48.717647,15.841176
13.246667,17.466667
25.431579,26.794737
38.385294,39.591176
